selling_price,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
3.5,27263,22.5,999,68,5,DATSUN,REDIGO GOLD 1.0,1,0,0,0,0,1,1,1,0
2.65,90000,25,1396,69.01,9,TATA,INDIGO ELX BS IV,1,0,1,0,0,0,1,1,0
5.2,110000,22.32,1582,126.3,9,HYUNDAI,VERNA 1.6 CRDI,1,0,1,0,0,0,1,1,0
7.5,70000,22.54,1396,88.73,7,HYUNDAI,I20 ASTA OPTION 1.4 CRDI,1,0,1,0,0,0,1,1,0
5.6,70000,26.59,1248,74,6,MARUTI,SWIFT DZIRE VDI,1,0,1,0,0,0,1,1,0
2,190000,19.1,1405,70,9,TATA,VISTA TDI LS,1,0,1,0,0,0,1,1,0
6,40000,25.4,1186,73.97,6,HYUNDAI,XCENT 1.2 CRDI SX,1,0,1,0,0,0,1,1,0
6.55,39000,18.6,1197,81.83,4,HYUNDAI,I20 1.2 SPOTZ,0,0,0,0,0,1,1,1,0
1.25,56000,17.8,1086,63,16,HYUNDAI,SANTRO XING XE,0,0,0,0,0,1,1,1,0
4.25,58000,14.53,1794,138.1,14,TOYOTA,COROLLA ALTIS 1.8 VL AT,0,0,0,0,0,1,0,1,0
2.2,40000,16.8,796,34.2,6,MARUTI,OMNI E MPI STD BS IV,1,0,0,0,0,1,1,0,1
5.5,34000,18.6,1197,81.83,5,HYUNDAI,I20 1.2 SPOTZ,1,0,0,0,0,1,1,1,0
11.5,50000,15.4,1997,120,6,MAHINDRA,SCORPIO 1.99 S10,1,0,1,0,0,0,1,0,1
5,77400,20.54,1598,103.6,11,VOLKSWAGEN,VENTO DIESEL HIGHLINE,1,0,1,0,0,0,1,1,0
9.9,36000,17.3,1497,121,4,MAHINDRA,MARAZZO M2 BSIV,1,0,1,0,0,0,1,0,1
5.51,47876,25,1493,113.42,10,HYUNDAI,VERNA SX OPT DIESEL,0,0,1,0,0,0,1,1,0
16.5,21500,15.1,2179,152.87,5,MAHINDRA,XUV500 W11 OPTION AT BSIV,1,0,1,0,0,0,0,0,1
3.5,75000,24,1120,70,8,HYUNDAI,GRAND I10 CRDI MAGNA,0,0,1,0,0,0,1,1,0
5,58000,18.16,1196,86.8,6,FORD,ASPIRE 1.2 TI-VCT TITANIUM,0,0,0,0,0,1,1,1,0
5.75,30000,21.21,1197,81.8,5,MARUTI,SWIFT DZIRE VXI 1.2,1,0,0,0,0,1,1,1,0
5.45,50000,24,1186,73.97,5,HYUNDAI,GRAND I10 1.2 CRDI ASTA,1,0,1,0,0,0,1,1,0
5.25,19093,18.16,1196,86.8,6,FORD,FIGO 1.2P TITANIUM MT,0,1,0,0,0,1,1,1,0
4,50000,18,1198,86.7,9,HONDA,AMAZE E I-VTECH,1,0,0,0,0,1,1,1,0
1.55,37000,14,1061,64,17,MARUTI,WAGON R LXI BSIII,0,0,0,0,0,1,1,1,0
5.4,3888,23.5,909,45,4,MAHINDRA,SUPRO VX 8 STR,1,0,1,0,0,0,1,0,1
5.45,47000,26.59,1248,74,7,MARUTI,SWIFT DZIRE VDI,0,0,1,0,0,0,1,1,0
5.45,70000,16.8,1497,116.3,10,HONDA,CITY V MT,1,0,0,0,0,1,1,1,0
2.4,25000,25.17,799,53.3,7,RENAULT,KWID RXL,1,0,0,0,0,1,1,1,0
7.25,26000,24.3,1248,88.5,5,MARUTI,VITARA BREZZA LDI OPTION,0,0,1,0,0,0,1,1,0
4.8,30000,18.16,1196,86.8,6,FORD,ASPIRE 1.2 TI-VCT TITANIUM OPT,1,0,0,0,0,1,1,1,0
3.75,15000,18.5,1197,82.9,10,HYUNDAI,I20 MAGNA OPTIONAL 1.2,1,0,0,0,0,1,1,1,0
2.25,160000,17.8,1248,75,12,MARUTI,SWIFT VDI BSIII W/ ABS,1,0,1,0,0,0,1,1,0
4,32100,23.84,1199,84,6,TATA,TIAGO 1.2 REVOTRON XZ,1,0,0,0,0,1,1,1,0
5.5,22000,18.5,1197,82.9,7,HYUNDAI,I20 MAGNA OPTIONAL 1.2,0,0,0,0,0,1,1,1,0
10.5,44000,15.4,2179,120,7,MAHINDRA,SCORPIO S10 7 SEATER,0,0,1,0,0,0,1,0,1
4.5,78000,18.78,1198,74,7,VOLKSWAGEN,POLO 1.2 MPI TRENDLINE,0,0,0,0,0,1,1,1,0
7.75,74352,11.74,1796,186,11,MERCEDES-BENZ,C-CLASS C 200 CGI ELEGANCE,0,0,0,0,0,1,0,1,0
3.5,37000,20.51,998,67.04,9,MARUTI,WAGON R VXI,1,0,0,0,0,1,1,1,0
5.5,69000,25.1,1498,98.6,9,HONDA,CITY I DTEC VX OPTION,0,0,1,0,0,0,1,1,0
10.8,12120,16.8,1497,113.4,4,KIA,SELTOS HTK PLUS G,1,0,0,0,0,1,1,1,0
5.75,52000,21.01,1197,81.8,7,MARUTI,BALENO DELTA,0,0,0,0,0,1,1,1,0
9.5,120000,12.99,2494,100.6,7,TOYOTA,INNOVA 2.5 G (DIESEL) 8 SEATER,1,0,1,0,0,0,1,0,1
2.3,55000,22.74,796,47.3,10,MARUTI,ALTO 800 LXI,1,0,0,0,0,1,1,1,0
2.7,160000,21.9,1396,90,12,HYUNDAI,I20 1.4 CRDI MAGNA,1,0,1,0,0,0,1,1,0
1.65,42000,25.44,936,56.3,11,CHEVROLET,BEAT DIESEL LS,0,0,1,0,0,0,1,1,0
1.3,40000,15.6,1196,70,12,FORD,FIGO PETROL EXI,1,0,0,0,0,1,1,1,0
3.7,46000,19.1,1197,85.8,11,MARUTI,SWIFT DZIRE VXI,0,0,0,0,0,1,1,1,0
5.7,25000,21.4,1197,83.1,6,MARUTI,BALENO DELTA 1.2,0,0,0,0,0,1,1,1,0
3.9,240000,23.59,1364,67.05,8,TOYOTA,ETIOS GD,1,0,1,0,0,0,1,1,0
3.65,90000,22.07,1199,73.9,10,VOLKSWAGEN,POLO DIESEL COMFORTLINE 1.2L,0,0,1,0,0,0,1,1,0
2.8,49566,18.5,1197,82.85,11,HYUNDAI,I20 MAGNA,0,0,0,0,0,1,1,1,0
12.5,14000,22,1582,126.2,5,HYUNDAI,VERNA CRDI 1.6 AT SX OPTION,0,0,1,0,0,0,0,1,0
5.9,11000,18.6,1197,81.83,7,HYUNDAI,I20 2015-2017 SPORTZ 1.2,0,0,0,0,0,1,1,1,0
4.75,5000,23.1,998,67.04,5,MARUTI,CELERIO VXI AMT BSIV,1,0,0,0,0,1,0,1,0
6.85,55000,23,1498,98.96,6,FORD,ECOSPORT 2015-2021 1.5 DIESEL TITANIUM BSIV,0,0,1,0,0,0,1,1,0
3.8,65000,19.08,1582,126.32,11,HYUNDAI,VERNA SX CRDI AT,0,0,1,0,0,0,0,1,0
3.3,22000,23.01,999,67,5,RENAULT,KWID 1.0 RXT OPTIONAL,1,0,0,0,0,1,1,1,0
6.5,7671,21.01,1197,81.8,5,MARUTI,BALENO DELTA,0,1,0,0,0,1,1,1,0
3.25,66000,20.51,998,67.04,7,MARUTI,WAGON R LXI,1,0,0,0,0,1,1,1,0
6.4,45156,21.21,1197,81.8,5,MARUTI,SWIFT DZIRE AMT VXI,0,0,0,0,0,1,0,1,0
9.49,25000,18.27,998,118.35,4,HYUNDAI,VENUE SX OPT TURBO BSIV,1,0,0,0,0,1,1,1,0
7.5,70000,20.45,1461,83.8,8,NISSAN,TERRANO XL PLUS 85 PS,1,0,1,0,0,0,1,1,0
6.6,120000,23.9,1582,126.2,8,HYUNDAI,VERNA 1.6 CRDI SX,1,0,1,0,0,0,1,1,0
4.35,28000,16.1,1197,85,9,MARUTI,SWIFT VXI BSIV,0,0,0,0,0,1,1,1,0
3.85,55000,21.9,1396,88.76,10,HYUNDAI,I20 SPORTZ 1.4 CRDI,0,0,1,0,0,0,1,1,0
10,104000,14.66,2199,194.3,12,HYUNDAI,SANTA FE 4X2,1,0,1,0,0,0,1,0,1
12.5,14000,22,1582,126.2,4,HYUNDAI,VERNA CRDI 1.6 AT SX OPTION,0,0,1,0,0,0,0,1,0
5.5,18000,20.14,1197,81.86,6,HYUNDAI,XCENT 1.2 VTVT SX,1,0,0,0,0,1,1,1,0
1.55,98780,18.9,998,67.1,14,MARUTI,WAGON R LX BS IV,0,0,0,0,0,1,1,1,0
4.15,58000,25.2,1248,74,8,MARUTI,SWIFT VDI BSIV,0,0,1,0,0,0,1,1,0
2.51,30000,20.92,998,67.1,12,MARUTI,ALTO K10 2010-2014 VXI,1,0,0,0,0,1,1,1,0
11.5,46400,15.4,2179,120,7,MAHINDRA,SCORPIO S10 7 SEATER,0,0,1,0,0,0,1,0,1
3.1,32111,19.81,1086,68.05,9,HYUNDAI,I10 MAGNA 1.1L,0,1,0,0,0,1,1,1,0
3.5,35000,19.44,1198,67,8,DATSUN,GO PLUS T BSIV,1,0,0,0,0,1,1,0,1
11.25,30000,15.4,1997,120,6,MAHINDRA,SCORPIO 1.99 S6 PLUS,0,0,1,0,0,0,1,0,1
20.9025,63000,18.59,2993,261.49,7,BMW,5 SERIES 530D M SPORT,0,0,1,0,0,0,0,1,0
2,43890,17.8,1199,76.8,6,CHEVROLET,BEAT LT,1,0,0,0,0,1,1,1,0
4.8,10000,20.62,1198,67,5,DATSUN,GO PLUS ANNIVERSARY EDITION,1,0,0,0,0,1,1,0,1
8.5,25000,28.4,1248,74.02,6,MARUTI,SWIFT DZIRE AMT ZDI PLUS,1,0,1,0,0,0,0,1,0
11,102000,17.01,1582,126.2,6,HYUNDAI,CRETA 1.6 CRDI AT SX PLUS,0,0,1,0,0,0,0,1,0
5.75,35000,22,1197,81.8,5,MARUTI,SWIFT VXI 2018,0,0,0,0,0,1,1,1,0
3.4,49948,17.5,1298,85.8,11,MARUTI,SWIFT DZIRE VXI,0,0,0,0,0,1,1,1,0
5.59,114851,25,1396,69.01,5,TATA,INDIGO ELX BS IV,1,0,1,0,0,0,1,1,0
9.25,55000,23,1498,98.96,5,FORD,ECOSPORT 2015-2021 1.5 DIESEL TITANIUM PLUS BSIV,1,0,1,0,0,0,1,1,0
4,36000,18.9,1197,82,8,HYUNDAI,GRAND I10 MAGNA,0,0,0,0,0,1,1,1,0
5.6,35000,25.4,1186,73.97,4,HYUNDAI,XCENT 1.2 CRDI S,1,0,1,0,0,0,1,1,0
7.25,49625,17.8,1497,117.3,7,HONDA,CITY I VTEC VX OPTION,0,0,0,0,0,1,1,1,0
6,35000,23.4,1248,74,9,MARUTI,SWIFT DZIRE ZDI,1,0,1,0,0,0,1,1,0
5.5,95000,12.05,2179,120,10,MAHINDRA,SCORPIO VLX 2WD AIRBAG SE BSIV,1,0,1,0,0,0,1,0,1
5.85,36000,25.83,1498,99,6,FORD,ASPIRE 1.5 TDCI TITANIUM,0,0,1,0,0,0,1,1,0
4.11,50000,21.79,998,67.05,4,MARUTI,WAGON R VXI,1,0,0,0,0,1,1,1,0
4.5,26500,20.85,1197,83.14,8,MARUTI,SWIFT DZIRE VXI,1,0,0,0,0,1,1,1,0
12.9,80000,13.7,1997,153.86,8,HONDA,CR-V 2.0L 2WD AT,0,0,0,0,0,1,0,1,0
4.55,46000,16.47,1198,74,8,VOLKSWAGEN,POLO 1.2 MPI HIGHLINE,0,0,0,0,0,1,1,1,0
7.1,9000,20.7,1197,81.86,4,HYUNDAI,GRAND I10 NIOS ASTA,1,0,0,0,0,1,1,1,0
4.5,70000,18.49,1493,100,7,MAHINDRA,TUV 300 T4,1,0,1,0,0,0,1,0,1
4.65,33000,17.71,1197,78.9,8,TOYOTA,ETIOS LIVA 1.2 VX,0,0,0,0,0,1,1,1,0
7.7,53000,16.8,1497,116.3,7,HONDA,CITY V MT,0,0,0,0,0,1,1,1,0
3.2,50000,19.09,1405,69.01,8,TATA,INDIGO LS (TDI) BS-III,1,0,1,0,0,0,1,1,0
3.25,50000,19.09,1405,69.01,8,TATA,INDIGO LX (TDI) BS-III,1,0,1,0,0,0,1,1,0
20.9025,11387,10.91,3198,197,5,FORD,ENDEAVOUR 3.2 TITANIUM AT 4X4,1,0,1,0,0,0,0,0,1
7.2,50000,25.8,1498,98.6,5,HONDA,AMAZE VX I-DTEC,1,0,1,0,0,0,1,1,0
3.75,52000,25.32,1198,77,7,MAHINDRA,KUV 100 MFALCON D75 K6 5STR,0,0,1,0,0,0,1,1,0
1.45,60000,14.49,1399,92.7,13,CHEVROLET,AVEO 1.4 LT ABS BSIV,1,0,0,0,0,1,1,1,0
4,35000,19.44,1198,67,8,DATSUN,GO PLUS T BSIV,1,0,0,0,0,1,1,0,1
6,48000,19.87,1461,83.8,8,RENAULT,DUSTER 85PS DIESEL RXL PLUS,1,0,1,0,0,0,1,1,0
6,18000,18.7,1199,88.7,5,HONDA,JAZZ 1.2 V I VTEC,1,0,0,0,0,1,1,1,0
2.7,57413,14.4,998,61.7,11,MARUTI,WAGON R LXI DUO,1,0,0,0,1,0,1,1,0
5,30000,18.6,1197,81.83,8,HYUNDAI,I20 MAGNA 1.2,1,0,0,0,0,1,1,1,0
6.5,55000,23.9,1582,126.2,8,HYUNDAI,VERNA 1.6 CRDI SX,0,0,1,0,0,0,1,1,0
3.8,120000,18.2,1199,82.4,8,CHEVROLET,SAIL 1.2 LS ABS,1,0,0,0,0,1,1,1,0
7.28,165000,13.5,2477,175.56,11,MITSUBISHI,PAJERO SPORT 4X4,1,0,1,0,0,0,1,0,1
6.6,10000,21.21,1197,81.8,5,MARUTI,SWIFT AMT ZXI,1,0,0,0,0,1,0,1,0
1.8,120000,18,1248,75,13,TATA,INDICA VISTA AURA 1.3 QUADRAJET,1,0,1,0,0,0,1,1,0
20.9,68000,22.69,1995,190,7,BMW,3 SERIES 320D LUXURY LINE,0,0,1,0,0,0,0,1,0
2.5,55000,25.44,936,56.3,8,CHEVROLET,BEAT DIESEL LS,0,0,1,0,0,0,1,1,0
12.75,8000,16.8,1497,113.4,3,KIA,SELTOS HTK PLUS G,0,0,0,0,0,1,1,1,0
4.55,80000,14.53,1798,138.1,11,TOYOTA,COROLLA ALTIS G,0,0,0,0,0,1,1,1,0
4.95,65000,28.4,1248,74,8,MARUTI,SWIFT VDI,0,0,1,0,0,0,1,1,0
2.2,47000,21.1,1197,85.8,13,MARUTI,RITZ VXI,1,0,0,0,0,1,1,1,0
8,185000,25.1,1248,88.5,5,MARUTI,S-CROSS 2017-2020 ZETA DDIS 200 SH,1,0,1,0,0,0,1,1,0
12.95,68000,13.01,2199,194.3,9,HYUNDAI,SANTA FE 2WD AT,0,0,1,0,0,0,0,0,1
4.75,25000,18.9,1197,82,7,HYUNDAI,GRAND I10 SPORTZ,1,0,0,0,0,1,1,1,0
3.8,280000,15.3,2956,83.83,9,TATA,SUMO GOLD EX,1,0,1,0,0,0,1,0,1
9,7791,25.1,1248,88.5,5,MARUTI,S-CROSS 2017-2020 ZETA DDIS 200 SH,1,0,1,0,0,0,1,1,0
5.3,70000,20.73,1373,91.1,8,MARUTI,CIAZ VXI PLUS,1,0,0,0,0,1,1,1,0
5.3,9500,23.84,1199,84,7,TATA,TIAGO 1.2 REVOTRON XZ,1,0,0,0,0,1,1,1,0
6.5,9100,17.01,1591,121.3,8,HYUNDAI,VERNA 1.6 VTVT S,1,0,0,0,0,1,1,1,0
4.95,82000,12.8,2354,177.6,13,HONDA,NEW ACCORD 2008-2011 2.4 MT,0,0,0,0,0,1,1,1,0
3.35,86000,17,1497,118,13,HONDA,CITY 1.5 S MT,0,0,0,0,0,1,1,1,0
20.9025,19000,17.01,1968,188,3,AUDI,Q5 40 TDI TECHNOLOGY,0,0,1,0,0,0,0,1,0
12.9,78000,16.55,1968,147.51,10,AUDI,A4 2.0 TDI,0,0,1,0,0,0,0,1,0
3,60000,20,1399,68,12,FORD,FIGO DIESEL TITANIUM,1,0,1,0,0,0,1,1,0
5.5,7883,21.5,1197,81.8,4,MARUTI,WAGON R ZXI AMT 1.2BSIV,0,1,0,0,0,1,0,1,0
3.9,50205,23.4,1248,74,10,MARUTI,SWIFT DZIRE LDI,0,1,1,0,0,0,1,1,0
2.6,220000,13.6,2523,63,15,MAHINDRA,BOLERO DI AC BSIII,1,0,1,0,0,0,1,0,1
3.95,58000,24.7,1047,69,6,TATA,TIGOR 1.05 REVOTORQ XT,0,0,1,0,0,0,1,1,0
5.5,170000,12.05,2179,120,11,MAHINDRA,SCORPIO SLE BSIII,1,0,1,0,0,0,1,0,1
6.5,15000,22,1197,81.8,5,MARUTI,SWIFT DZIRE VXI 1.2 BS IV,1,0,0,0,0,1,1,1,0
3.75,71245,28.4,1248,74,7,MARUTI,SWIFT DDIS LDI,0,0,1,0,0,0,1,1,0
3,20000,21.12,1248,88.8,11,TATA,MANZA ELAN QUADRAJET BS IV,1,0,1,0,0,0,1,1,0
4.5,52000,16.78,1496,88.73,7,TOYOTA,ETIOS VX,0,0,0,0,0,1,1,1,0
3.35,61000,19.4,1198,86.8,8,HONDA,BRIO S MT,1,0,0,0,0,1,1,1,0
13,7000,16.1,1353,138,4,KIA,SELTOS GTK,1,0,0,0,0,1,1,1,0
3.6,20000,23.95,998,67.05,5,MARUTI,ALTO K10 VXI,1,0,0,0,0,1,1,1,0
5.05,8700,21.63,998,67.04,3,MARUTI,CELERIO ZXI,1,0,0,0,0,1,1,1,0
3.1,25000,24.7,796,47.3,4,MARUTI,ALTO 800 LXI,1,0,0,0,0,1,1,1,0
5.45,42000,18.6,1197,81.86,8,HYUNDAI,I20 ASTA OPTION BSIV,0,0,0,0,0,1,1,1,0
3,120000,14,2498,112,14,MAHINDRA,XYLO E4,1,0,1,0,0,0,1,0,1
2,60000,14.4,1399,94,14,CHEVROLET,AVEO 1.4 LS LIMITED EDITION,1,0,0,0,0,1,1,1,0
1.5,120000,13.6,2523,63,17,MAHINDRA,BOLERO DI,1,0,1,0,0,0,1,0,1
5.8,50000,21.4,1197,83.1,5,MARUTI,BALENO DELTA 1.2,1,0,0,0,0,1,1,1,0
2.5,58000,18.9,998,67.1,12,MARUTI,WAGON R VXI BS IV,1,0,0,0,0,1,1,1,0
6.5,36000,17.43,1396,105.5,6,HYUNDAI,VERNA 1.4 VTVT,1,0,0,0,0,1,1,1,0
8,80000,23.65,1248,88.5,7,MARUTI,SX4 S CROSS DDIS 200 ZETA,1,0,1,0,0,0,1,1,0
14.75,71000,15.73,1968,174.33,10,AUDI,Q3 2.0 TDI QUATTRO PREMIUM PLUS,0,0,1,0,0,0,0,1,0
4.1,30000,25.47,1248,88.5,5,MARUTI,ERTIGA VDI,1,0,1,0,0,0,1,0,1
5.31,162828,22.77,1498,98.59,8,FORD,ECOSPORT 2015-2021 1.5 TDCI TITANIUM BSIV,0,0,1,0,0,0,1,1,0
8.9,7500,23,1498,98.96,5,FORD,ECOSPORT 2015-2021 1.5 DIESEL TITANIUM PLUS BSIV,1,0,1,0,0,0,1,1,0
7.75,47227,14,2179,138.1,7,TATA,SAFARI STORME EX,0,0,1,0,0,0,1,0,1
4.35,52000,33.54,998,67.04,5,MARUTI,WAGON R CNG LXI BSIV,0,0,0,0,0,0,1,1,0
1.85,74000,20,1399,68.05,11,FORD,FIGO DIESEL ZXI,0,0,1,0,0,0,1,1,0
4.4,47000,15.96,2523,62.1,12,MAHINDRA,BOLERO 2011-2019 SLX,0,0,1,0,0,0,1,0,1
4.5,50000,18.6,1197,81.83,8,HYUNDAI,I20 SPORTZ 1.2,1,0,0,0,0,1,1,1,0
6,100000,21.4,1197,83.1,6,MARUTI,BALENO ZETA 1.2,1,0,0,0,0,1,1,1,0
3.2,35000,23.1,998,67.04,9,MARUTI,CELERIO VXI,1,0,0,0,0,1,1,1,0
7,50000,21.19,1396,88.73,7,HYUNDAI,I20 ACTIVE 1.4 SX,1,0,1,0,0,0,1,1,0
6.3,10000,18.16,1196,86.8,5,FORD,ASPIRE 1.2 TI-VCT TITANIUM,1,0,0,0,0,1,1,1,0
3.2,10370,22.74,796,47.3,7,MARUTI,ALTO 800 VXI AIRBAG,1,0,0,0,0,1,1,1,0
4.65,62000,16.8,1497,116.3,10,HONDA,CITY V MT,0,0,0,0,0,1,1,1,0
