Name,Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Details
"Noise Evolve 3 1.43"" AMOLED AOD 466*466px 500 nits BT callingTru Sync Technology Smartwatch",Noise,4299,6999,38% off,4.4,7581 Ratings†&†915 Reviews,['1.43 AMOLED Always On Display (466*466px | 326 PPI | 500 nits brightness)' 'Tru SyncTM' 'Lightweight design with circular stainless steel ring' 'Noise Health SuiteTM (SpO2 stress monitor 24*7 heart rate tracking sleep monitor & breath)' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Manufacturer Warranty']
Fire-Boltt Talk Bluetooth Calling Smartwatch,Fire-Boltt,1799,9999,82% off,4.1,155760 Ratings†&†31068 Reviews,"['Bluetooth Calling : Answer and make calls with Bluetooth directly from your watch' ""Enable Bluetooth Calling Function: First connect to the compatible app. Then manually go to the phone's Bluetooth settings and pair the watch"" '3D HD Display : 1.28 Full Circle 3D HD bevel curved glass' 'Comprehensive Health Data : Track your SPO2 Blood Pressure Heart Rate' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' 'Covers Manufacturing Defects']"
Lookar Smart watch call HD display with Bluetooth calling brightness (black Strap) Smartwatch,Lookar,940,5499,82% off,4.3,11 Ratings†&†1 Reviews,['With Call Function' 'Touchscreen' 'Fitness & Outdoor Health & Medical Watchphone' 'Battery Runtime: Upto 24 hrs']
boAt Wave beat 1.69Inch HD display with complete health monitoring Smartwatch,boAt,1499,5990,74% off,4.1,25429 Ratings†&†1906 Reviews,['1.69 inch Square HD Display' '550 Nits Brightness' 'Heart Rate and Blood Oxygen Monitoring' 'Health Ecosystem with boAt Crest App' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Warranty from the Date of Purchase']
Gizmore GizFit BLAZE BT Calling Smartwatch | 1.69 Inch IPS Curved 500 NITS Display Smartwatch,Gizmore,1299,5499,76% off,4,1830 Ratings†&†404 Reviews,['With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' 'Gizmore smartwatches comes with a 12 months Manufacturing Warranty.']
"GOQii Smart Vital MAX 1.69"" Full Touch HD Smart Notification 3 Month Health Coaching Smartwatch",GOQii,1784,5999,70% off,3.9,322 Ratings†&†37 Reviews,['1.69inch Full HD color display Touch screen | 240x280 HD resolution' 'Health coaching - 3 months free health & fitness coaching | Doctor consultation | health reward | Yoga | Home live workout | Diet consultation | free access to GOQii store & App' 'Body Temperature Tracker | 24x7 Heart rate Monitor | Integrated Pulse Oximeter (SpO2) | Auto Sleep tracking' 'IP68 Water/Dust resistant | Multiple customize watch faces | music control |stopwatch | timer | raise to wake | alarms | inactivity alerts | 17 mode of exercise & Battery Runtime: Upto 7 days | 1 Year Warranty' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Warranty']
SAMSUNG Watch 4 44mmSuper AMOLED bluetooth calling function & body composition tracking,SAMSUNG,9999,29999,66% off,4.4,29082 Ratings†&†2714 Reviews,['With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 40 hrs' '1 Year Manufacturing Warranty']
Amazfit GTR 2 (New version)1.39HD AMOLEDBluetooth callingupto 10 days battery life Smartwatch,Amazfit,5999,16999,64% off,4.2,7254 Ratings†&†688 Reviews,['1.39-inch HD AMOLED Screen covered in 2.5D Glass' 'Alexa Built-in Bluetooth Phone Calls 3GB Music Storage' 'SpO2 Stress Heart Rate & Sleep Monitoring Wear Detection' '90+ Sports Modes with 5 ATM Water-resistance' '11-day Battery Life 50+ Watch Faces Always-on Display Smart Notifications etc' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 11 days' '1']
boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,boAt,1999,7990,74% off,4.1,75033 Ratings†&†5833 Reviews,['1.69inch HD Display|550 Nits Brightness| 2.5D Curved Touch Display' 'Bluetooth Calling & Dialpad(Save upto 10 contacts)| Ultra Slim & Lightweight' '150+ Watch Faces| HR & SpO2 Monitoring' 'IP68: Dust Sweat & Splash Resistant' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' '1 Year Warranty from the Date of Purchase']
"Ambrane Wise-roam 1.28"" Full HD displaybluetooth calling and complete health tracking Smartwatch",Ambrane,1999,5999,66% off,4.2,19169 Ratings†&†1935 Reviews,['Bluetooth Calling with Inbuilt Mic Inbuilt Speaker and Dialer| 1.28-inch full touch screen with round LucidDisplay?? 450 Nits Brightness 2.5D Curved Glass' 'SpO2 (Real-Time Monitoring) Blood Pressure Heart Rate Sleep Breath Training and Menstrual Cycle TrackingFitness and Productivity: Smart Notifications 60 Sports Modes Alarm Stopwatch Flashlight Timer Find Phone Music Player Shutter (Remote Camera)' 'Sturdy Body: Comfortable adjustable Straps High-quality frame and IP68 water resistantDo Not Disturb Mode & Theatre Mode | 100+ Watch Faces Upto 10 Days Battery 2 Inbuilt Games Customizable Watch Face Weather Dual Menu Options Voice Assistance' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' '1 Year Manufacturer Warranty']
DIZO Watch 2 (by realme TechLife),DIZO,1499,3999,62% off,4.2,107247 Ratings†&†12492 Reviews,"['4.3cm (1.69"") Bright Full Touch Screen' '5ATM Water Resistance' 'Blood Oxygen & Heart Rate Monitor' '15 Sports Modes' '10-Day Battery Life' '100+ Stylish Watch Faces' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' '1 Year Warranty']"
"boAt Wave Connect with Bluetooth Calling Voice Assistant and 1.69"" HD Display Smartwatch",boAt,2999,5990,49% off,4.2,34446 Ratings†&†3178 Reviews,['Bluetooth Calling Smartwatch: Call On The Go | Voice Assistant: Connect on Command | 43mm(1.69Äù) HD Display | 60+ Sports Modes | Heart Rate and SpO2 Monitoring | Multiple Cloud Watch Faces | IP68: Dust Sweat & Splash Resistant' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' '1 Year Warranty from the Date of Purchase']
Fire-Boltt Talk Pro Bluetooth Calling Smartwatch,Fire-Boltt,2199,9999,78% off,4.1,31151 Ratings†&†7010 Reviews,['[Bluetooth Calling Smartwatch]- Answer & Make Calls Directly from The Smartwatch\n[In Built Speaker & Microphone]- Listen to Songs and Enjoy HD Calls on this smartwatch\n[High Resolution 360*360]- This smartwatch has a round display with High Resolution of 360*360 Pixels full touch 1.3 inch HD Screen and ultra-high colour saturation\n[60 Sports Modes To Track]- Track each activity efficiently and analyse performance based upon saved history\n[360 Health Tracker]- This watch is your go to health tracking device. Track your blood oxygen (SpO2) Heart Rate Blood Pressure and even your Sleep!\n[Play Games On Your Wrist]- Play your favourite Bird Game and 2048 Game on your watch\n[Rotating Button Function]- Scroll through the various functions in the menu list by simply rotating the button\n[Smartphone Notifications]- Get all your mobile phone notifications on the watch and never miss out any meetings birthday or calls [IP68 Water Resistant]- spills raindrops and is sweatproof too' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 30 days' 'Covers Manufacturing Defects']
Noise ColorFit Vision 2 Buzz Smartwatch,Noise,3499,7999,56% off,4.3,8813 Ratings†&†814 Reviews,['1.78 inch AMOLED Always On Display (368*448px 326 PPI & 500 nits)' 'Bluetooth calling (In built speaker in-built microphone & dial from recent call logs and access favourite contacts)' 'Tru Sync Technology for quick pairing  stable connectivity and low power consumption.' 'Lightweight design & unique straps (10.9mm thick - excluding sensors (disclaimer) metallic finish)' 'Noise Health SuiteTM (SpO2 24*7 heart rate tracking activity tracker stress monitor sleep tracker & female health tracker)' '100+ watch faces (customised & cloud-based) & all-new watch UI (widgets & shortcut screens)' '100 sports modes with auto sports detection (Disclaimer: 10 in watch remaining via app)' 'Productivity and utility suite (quick reply call & message notifications world clock alarm stocks reminders remote camera/music control find my phone weather updates & smart DND)' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Manufacturer Warranty']
Fire-Boltt Epic with 2.5D Curved GlassSPO2 Heart Rate tracking Touchscreen Smartwatch,Fire-Boltt,1499,7999,81% off,4.2,38607 Ratings†&†6369 Reviews,"['1.69"" HD Display with 2.5D Curved Glass | 240*280 Pixel High Resolution' '120 Sports Modes to Track with IP68 Water Resistant| Customised Wallpaper Option | Match Your Daily' 'Outfit with 100+ Cloud Faces' 'Smart Health Monitoring - Track SpO2 Heart Rate while your workout' 'Social App Notifications & Reminders - Never miss important calls and updates| Remote control Camera & Player click numerous pictures on the go' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' 'Covers Manufacturing Defects']"
Fire-Boltt Talk Pro Bluetooth Calling Smartwatch Smartwatch,Fire-Boltt,2199,9999,78% off,4.1,31151 Ratings†&†7010 Reviews,['[Bluetooth Calling Smartwatch]- Answer & Make Calls Directly from The Smartwatch\n[In Built Speaker & Microphone]- Listen to Songs and Enjoy HD Calls on this smartwatch\n[High Resolution 360*360]- This smartwatch has a round display with High Resolution of 360*360 Pixels full touch 1.3 inch HD Screen and ultra-high colour saturation\n[60 Sports Modes To Track]- Track each activity efficiently and analyse performance based upon saved history\n[360 Health Tracker]- This watch is your go to health tracking device. Track your blood oxygen (SpO2) Heart Rate Blood Pressure and even your Sleep!\n[Play Games On Your Wrist]- Play your favourite Bird Game and 2048 Game on your watch\n[Rotating Button Function]- Scroll through the various functions in the menu list by simply rotating the button\n[Smartphone Notifications]- Get all your mobile phone notifications on the watch and never miss out any meetings birthday or calls [IP68 Water Resistant]- spills raindrops and is sweatproof too' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 30 days' 'Covers Manufacturing Defects']
Ambrane Wise-Eon 1.69Lucid Display bluetooth calling function & 7 days battery life Smartwatch,Ambrane,1799,4999,64% off,4.2,51561 Ratings†&†6007 Reviews,['Calling Feature: Bluetooth Calling with Inbuilt Mic Inbuilt Speaker and Dialer' 'Screen: 1.69-inch full touch screen with square LucidDisplay 450 Nits Brightness 2.5D Curved Glass With Intelligent spilt screen' 'Health Tracking: SpO2 (Real-Time Monitoring) Blood Pressure Heart Rate Sleep Breath Training and Menstrual Cycle Tracking' 'Fitness and Productivity: Smart Notifications 60 Sports Modes Alarm Stopwatch Flashlight Timer Find Phone Music Player Shutter (Remote Camera)' 'Sturdy Body: Comfortable adjustable Straps High-quality frame and IP68 water-resistant| Modes: DND & Low Power Mode' '100+ Watch Faces Upto10 Days Battery Life on Normal Use 3 Inbuilt Games Customizable Watch Face Weather Dual Menu Options Voice Assistance' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' '1 Year Brand Warranty']
DIZO Watch R Talk Amoled Display with Calling & 10 days battery,DIZO,3999,6999,42% off,4.2,5155 Ratings†&†640 Reviews,"['Advanced Calling with Voice Assistant & Noise Cancellation' '1.3""Ultra-Sharp Amoled Display' 'Always on Display with 550 nits brightness' 'Fully Washable' 'Up-to 10 days Battery (2 Hours to Full Charge)' '110+ Sports Mode' '150+ Stylish Watch Faces' 'Smart Controls' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' '12 Month from the Date of Purchase']"
Noise ColorFit Brio Smartwatch,Noise,1499,5999,75% off,4.2,30256 Ratings†&†3432 Reviews,"['Best-In Segment Resolution with 360*400 pixels' '3.86 cms (1.52"") TruView HD Display and 100+ personalized watch faces' 'Super light and slim with 30gms weight and 9mm thickness' 'Noise Health Suite: Blood oxygen monitor (Spo2) Stress monitor Sleep monitor 24*7 Heart Rate monitor' '50 sports modes and up to 10-day battery\nSpecial features: Smart DND & quick reply with NoiseFit App' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' '1 Year Manufacturer Warranty']"
"Noise ColorFit Loop Advanced BT Calling with 1.85"" display130+Sports Modes Smartwatch",Noise,2499,6999,64% off,4.3,961 Ratings†&†137 Reviews,['1.85 inch TFT display: Experience bold and vibrant visuals on this big-screen smartwatch with 550 nits.' '2.5D Curved glass: Stand out in the crowd with its premium curved glass design.' 'Noise Buzz: Manage calls directly from your wrist. Access your call logs make calls from the dial pad and save up to 10 favorite contacts.' 'Noise Health SuiteTM: Take better care of your daily health with a series of health monitoring tools Blood oxygen monitor Sleep monitor 24x7 heart rate monitor Stress measurement & Female cycle tracker.' 'NoiseFit app: Make the most out of your smartwatch by pairing it with the NoiseFit app.' 'Up to 7-day battery: Go through a full week without charging with up to 7 days of battery life.' '200+ cloud-based & customized watch faces: Make your selection from a series of fun and trendy watch faces.' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Manufacturer Warranty']
TXOR STORM M5 With Heart Rate SPO2 & BP Monitor 35 mm Screen Blue Smartwatch,TXOR,629,1499,58% off,3.2,22237 Ratings†&†1668 Reviews,['Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 8 days' '6 Months | Manufacturing Defects']
Fire-Boltt Epic with 2.5D Curved GlassSPO2 Heart Rate tracking Touchscreen Smartwatch,Fire-Boltt,1299,7999,83% off,4.2,38607 Ratings†&†6369 Reviews,"['1.69"" HD Display with 2.5D Curved Glass | 240*280 Pixel High Resolution' '120 Sports Modes to Track with IP68 Water Resistant| Customised Wallpaper Option | Match Your Daily' 'Outfit with 100+ Cloud Faces' 'Smart Health Monitoring - Track SpO2 Heart Rate while your workout' 'Social App Notifications & Reminders - Never miss important calls and updates| Remote control Camera & Player click numerous pictures on the go' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' 'Covers Manufacturing Defects']"
Fire-Boltt Ninja Call 2 (1.7 inch) Bluetooth Calling with 27 Sports Modes Smartwatch,Fire-Boltt,2199,7999,72% off,4.1,64817 Ratings†&†11820 Reviews,"['1.7 inch Bluetooth Calling Full Touch Smartwatch with 240*280 px Resolution' 'Built In Mic and Speaker enables user to enjoy wireless calling experience' 'Stream & Listen To Favourite Songs Through The Watch with Built - In Speaker' '360 Health Tracking - Featuring Real Time SpO2 Heart Rate Tracking Sleep Monitoring' 'With 27 Sports Modes track each activity and take a step to a healthier lifestyle' 'Smart All Round Notifications - Stay Socially Updated Always' 'Play Games Like 2048 Thunder Bottleship & Young Bird On The Wrist""' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' 'Covers Manufacturing Defects']"
"Noise ColorFit Pro4 BT Calling 1.72"" TruView Display Fully-functional digital crown Smartwatch",Noise,2999,5999,50% off,4.3,10889 Ratings†&†854 Reviews,['With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Manufacturer Warranty']
"GOQii Smart Vital Lite 1.4"" Smart Touch HD With 3 Months Health Coaching Smartwatch",GOQii,1614,5499,70% off,3.8,2491 Ratings†&†218 Reviews,['1.4inch HD color display | 240x240 HD resolution | Full Display Touch screen' 'Health coaching - 3 months free health & fitness coaching | Doctor consultation | health reward | Yoga | Home live workout | Diet consultation | free access to GOQii store & App' 'Body Temperature Tracker | 24x7 Heart rate Monitor | Integrated Pulse Oximeter (SpO2) | Auto Sleep tracking' 'IP68 Water/Dust resistant | Multiple customize watch faces | music control |stopwatch | timer | raise to wake | alarms | inactivity alerts' 'Touchscreen' 'Fitness & Outdoor Health & Medical Notifier Watchphone' 'Battery Runtime: Upto 7 days' '1 Year Warranty']
Fire-Boltt Talk Bluetooth Calling Smartwatch,Fire-Boltt,1799,9999,82% off,4.1,155760 Ratings†&†31068 Reviews,"['Bluetooth Calling : Answer and make calls with Bluetooth directly from your watch' ""Enable Bluetooth Calling Function: First connect to the compatible app. Then manually go to the phone's Bluetooth settings and pair the watch"" '3D HD Display : 1.28 Full Circle 3D HD bevel curved glass' 'Comprehensive Health Data : Track your SPO2 Blood Pressure Heart Rate' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' '1 Year Warranty from the Date of Purchase']"
"Fire-Boltt Talk Bluetooth Calling 1.32"" HD Display Smartwatch",Fire-Boltt,1799,9999,82% off,4.1,155760 Ratings†&†31068 Reviews,"['Bluetooth Calling : Answer and make calls with Bluetooth directly from your watch' ""Enable Bluetooth Calling Function: First connect to the compatible app. Then manually go to the phone's Bluetooth settings and pair the watch"" '3D HD Display : 1.28 Full Circle 3D HD bevel curved glass' 'Comprehensive Health Data : Track your SPO2 Blood Pressure Heart Rate' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' 'Covers Manufacturing Defects']"
realme Watch 2 with 320 x 320p Ultra Sharp 600 nits Display & up to 12-day Battery Smartwatch,realme,1899,3999,52% off,4.1,37557 Ratings†&†3340 Reviews,['3.5cm (1.4 inch) Large Color Display' 'Continuous Heart Rate & SpO2 Blood Oxygen Monitor' 'IP68 Water Resistant with 90 Sport Modes' '100+ Stylish Watch Faces to be Updated via OTA' 'Magnetic Charging Base for Hassle-free Charging' 'Capacitive Touchscreen' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 12 days']
"alt OG Bluetooth Calling 1.69"" HD Display with AI Voice Assistant Built-in Games Smartwatch",alt,1499,6999,78% off,4.2,4605 Ratings†&†727 Reviews,['1.69ÔøΩ TFT LCD screen (240*280 px)' 'Bluetooth calling (built-in microphone & speakers recent calls dial pad contacts)' 'AI Voice Assistant Built-in Games' '200+ cloud-based & customisable watch faces' 'Health tracking with AltFit app (SpO2 stress monitor sleep tracker 24*7 HRM & BP monitor)' '230mAh battery (7 days of use 2 days with calling & 25 days on standby)' 'Utility/productivity features (Stopwatch alarm timer reminder smart DND weather quick replies find my phone camera/music controls breathe AI voice assistant)' '4 colour options & metallic finish- Lunar Black Berry Blue Misty Grey Moss Green' 'IP67 waterproof' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Manufacturer Warranty']
DIZO Watch 2 (by realme TechLife),DIZO,1499,3999,62% off,4.2,107247 Ratings†&†12492 Reviews,['4.3cm (1.69 inch) Bright Full Touch Screen' '5ATM Water Resistance' 'Blood Oxygen & Heart Rate Monitor' '15 Sports Modes 100+ Stylish Watch Faces' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 10 days' '1 year from the date of purchase']
"Pebble Cosmos Ultra 1.91"" 600 nits BT-Calling High-Res Curved Display Ultra-Thin Dial Smartwatch",Pebble,3199,7499,57% off,4.4,9508 Ratings†&†3146 Reviews,['1.91 inch High-Resolution Infinite Display with Curved Edges | 600 Nits Brightness| Answer and make calls with Bluetooth directly from your watch - Call Message & Social Media Notification' 'Blood-oxygen monitoring (SPO2) 24*7 Heart rate monitoring Sedentary alert| IP67 waterproof standard AI Voice Assistant (Google & Siri)| Inbuilt 10+ watch faces and 100+ cloud-based watch faces | Information Inbuilt games' 'Always on rotating display when charging | Social media contacts sharing by scanning QR Code| Active Rotating Crown Calculator Smart password screen lock Stopwatch Weather' 'Battery up to 5 days Stand by up to 15 Days' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days']
DIZO Watch D 1.8 inch Dynamic display with 550nits brightness (by realme techLife),DIZO,1999,4999,60% off,4.2,30999 Ratings†&†3998 Reviews,"['4.57cm (1.8"")  550nits Super Bright Display' 'Upto 14 Day Battery Life 2 Hours for Full Charge' '5ATM Water Resistance| 150+ Stylish Watch Faces| 110+ Sports Mode' 'Health Monitoring|DIZO Smart App Controls' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 14 days' '12 month from the date of purchase']"
realme Watch 2 Pro 1.75 Inch 320 x 385p Hi-Res Display 14-day Battery & Dual GPS Smartwatch,realme,2999,5999,50% off,4.2,27386 Ratings†&†2578 Reviews,['Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 14 days' '1 Year Manufacturing Defects']
Fire-Boltt Ring 2 Smartwatch,Fire-Boltt,1999,9999,80% off,4.1,10850 Ratings†&†2453 Reviews,['1.69 inch Bluetooth Calling Full Touch Smartwatch with 240*280 px Resolution' 'Built In Mic and Speaker enables user to enjoy wireless calling experience' 'Stream & Listen To Favourite Songs Through The Watch with Built - In Speaker' 'Comes with 30 Sports Modes track each activity and take a step to a healthier lifestyle' 'Play Games Like 2048 Thunder Battleship & Young Bird On The Wrist and enjoy the leisure time' 'With Call Function' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' 'Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.']
Noise ColorFit Vision 2 with 1.78'' Always on AMOLED Display Smartwatch,Noise,2499,6999,64% off,4.1,9517 Ratings†&†958 Reviews,['1.78 Amoled with always on feature' 'Menstrual Cycle Tracking | Heart Rate Monitor Stress & Sleep Monitor' 'Weather and Quick Replies' 'IP68 Waterproof| multiple sports mode' 'Battery : Upto 7 days/ 30 Days Standby' 'Touchscreen' 'Fitness & Outdoor' 'Battery Runtime: Upto 7 days' '1 Year Manufacturer Warranty']
