Name,Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Details
Whirlpool 6 kg with Hard Water Wash Fully Automatic Top Load Grey,Whirlpool,13990,16800,16% off,4.3,30745 Ratings & 2386 Reviews,['740 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 5 Years on Motor from Whirlpool']
BOSCH 8 kg Drive Motor Anti Tangle Anti Vibration Fully Automatic Front Load with In-built Heater Wh...,BOSCH,31990,43299,26% off,4.4,15039 Ratings & 1512 Reviews,['1200 rpm Max Speed' '5 Star Rating' '2 Years Warranty on Product and 12 Years on Motor']
realme TechLife 8 kg 5 Star Rating Fully Automatic Top Load with In-built Heater Grey,realme,15190,26490,42% off,4.2,15404 Ratings & 1920 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 5 Years on Motor']
realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Black Grey,realme,8490,13990,39% off,4.2,9918 Ratings & 1198 Reviews,['1400 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years on Wash Motor']
Whirlpool 7 kg 5 StarTurbo Scrub Technology Semi Automatic Top Load Grey,Whirlpool,10240,11250,8% off,4.4,66571 Ratings & 6222 Reviews,['1450 rpm Max Speed' '5 Star Rating' '2 Years\n  Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover\n  from Whirlpool']
realme TechLife 6.5 kg with Fully Automatic Top Load Grey,realme,11790,16490,28% off,4.2,15404 Ratings & 1920 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 5 Years on Motor']
Midea 7 kg 5 Star Fully Automatic Front Load with In-built Heater Grey,Midea,24990,33990,26% off,4.1,317 Ratings & 48 Reviews,['1200 rpm Max Speed' '5 Star Rating' '2 Years Warranty from Midea']
BOSCH 7 kg Drive Motor Anti Tangle Anti Vibration Fully Automatic Front Load with In-built Heater Wh...,BOSCH,27990,37899,26% off,4.4,15039 Ratings & 1512 Reviews,['1000 rpm Max Speed' '5 Star Rating' '2 Years Warranty on Product and 12 Years on Motor']
IFB 7 kg 5 Star Aqua Conserve Hard Water Wash Smart Sense Fully Automatic Top Load Grey White,IFB,17990,21490,16% off,4.3,12711 Ratings & 1080 Reviews,['720 rpm Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty + 10 years Motor Warranty + 10 years Spares Support']
realme TechLife 8.5 kg with Semi Automatic Top Load Grey Black,realme,10790,18990,43% off,4.2,9918 Ratings & 1198 Reviews,['1400 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years on Wash Motor']
SAMSUNG 7 kg 5 Star With Hygiene Steam and Digital Inverter Fully Automatic Front Load with In-built H...,SAMSUNG,27490,34700,20% off,4.4,23161 Ratings & 2321 Reviews,['1200 rpm Max Speed' '5 Star Rating' '2 years comprehensive warranty on the product 20 years warranty on the DIT Motor']
ONIDA 8 kg 5 star and In-built Basket Semi Automatic Top Load Grey,ONIDA,9990,13670,26% off,4.2,5884 Ratings & 574 Reviews,['1450 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product 5 Years Warranty on Motor']
Sansui 7 kg Semi Automatic Top Load Red White,Sansui,7690,12990,40% off,4.3,11240 Ratings & 1011 Reviews,['1300 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years Motor Domestic Warranty from Sansui']
SAMSUNG 7 kg Inverter 5 Star with Ecobubble & Super Speed Technology Washing Machine Fully Automatic T...,SAMSUNG,19490,24000,18% off,4.3,12023 Ratings & 1074 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 years comprehensive warranty on the product 20 years warranty on the DIT Motor']
IFB 9 kg 5 Star 2X Power SteamHard Water Wash Fully Automatic Front Load with In-built Heater Silver,IFB,39990,46990,14% off,4.4,1224 Ratings & 150 Reviews,['1400 rpm Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty 10 Years Motor Warranty 10 Years Spares Support']
LG 6.5 kg with Steam and Smart Diagnosis Fully Automatic Front Load with In-built Heater White,LG,25990,33990,23% off,4.4,8194 Ratings & 761 Reviews,['1000 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive and 10 Years on Motor from LG']
LG 7.5 kg 5 star Semi Automatic Top Load Purple,LG,12690,14990,15% off,4.4,3068 Ratings & 270 Reviews,['1300 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years on Motor From LG']
Whirlpool 7.5 kg 5 Star Fully Automatic Top Load with In-built Heater Grey,Whirlpool,21490,23300,7% off,4.3,4010 Ratings & 373 Reviews,['740 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 10 Years on Motor from Whirlpool']
LG 8 kg Smart inverter Smart closing door and 5 star rated Fully Automatic Top Load Silver,LG,21490,29990,28% off,4.4,6628 Ratings & 503 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)']
ONIDA 7 kg with 5 Star Fully Automatic Top Load Grey,ONIDA,12990,21990,40% off,4.2,43250 Ratings & 5066 Reviews,['750 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product 5 Years Warranty on Motor']
Whirlpool 8.5 kg 5 Star Semi Automatic Top Load Red White,Whirlpool,13470,15728,14% off,4.4,255 Ratings & 15 Reviews,['1450 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor and Prime Mover from Whirlpool']
LG 11 kg with Roller Jet Pulsator Soak and Smart Filter Semi Automatic Top Load Black,LG,18269,22490,18% off,4.5,1798 Ratings & 166 Reviews,['1300 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 5 Years on Motor']
SAMSUNG 7.5 kg Semi Automatic Top Load Blue Grey,SAMSUNG,11990,15500,22% off,4.4,15631 Ratings & 1242 Reviews,['1300 rpm Max Speed' '5 Star Rating' '2 Years warranty on product 5 Years warranty on motor']
Godrej 6.2 kg with Metal drum Fully Automatic Top Load Grey,Godrej,12990,17900,27% off,4.2,5696 Ratings & 431 Reviews,['700 rpm Max Speed' '2 Years Comprehensive Warranty and 10 Years warranty on Motor from Godrej']
realme TechLife 8 kg 5 Star Rating Semi Automatic Top Load White Black,realme,10290,17490,41% off,4.2,9918 Ratings & 1198 Reviews,['1400 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years on Wash Motor']
Panasonic 6 kg 5 Star AquaBeat Wash Fully Automatic Top Load Grey,Panasonic,13990,16700,16% off,4.3,9162 Ratings & 1238 Reviews,['680 rpm Max Speed' '5 Star Rating' '2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic']
Whirlpool 7.5 kg 5 Star Hard Water wash Fully Automatic Top Load Grey,Whirlpool,17990,19950,9% off,4.3,9192 Ratings & 775 Reviews,['740 rpm Max Speed' '5 Star Rating' '2 Years on Product and 5 Years on Motor']
Sansui 9 kg Semi Automatic Top Load White Maroon,Sansui,10390,15990,35% off,4.3,11240 Ratings & 1011 Reviews,['1350 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty On Product and 5 Years on Motor']
LG 8 kg with Jet Sprey Auto Pre Wash Smart Diagnosis Smart Closing Door and 10 Water Levels Fully A...,LG,24240,30990,21% off,4.5,2379 Ratings & 205 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 Years Warranty on Complete Washing Machine and 10 Years on Motor from LG']
LG 7 kg with Smart Diagnosis and Smart Closing Door Fully Automatic Top Load Silver,LG,19890,25990,23% off,4.4,676 Ratings & 62 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from LG']
Voltas Beko 7 kg Semi Automatic Top Load Maroon White,Voltas,9490,15290,37% off,4.3,518 Ratings & 47 Reviews,['1300 rpm Max Speed' '2 Years Comprehensive Warranty on Product 5 Years Warranty on Motor']
IFB 6.5 kg 5 Star Aqua Conserve Hard Water Wash Smart Sense Fully Automatic Top Load Grey,IFB,18590,22050,15% off,4.3,24178 Ratings & 2997 Reviews,['720 rpm Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty + 10 years Motor Warranty + 10 years Spares Support']
Lloyd 8 kg Semi Automatic Top Load Blue White,Lloyd,10990,18990,42% off,4.3,459 Ratings & 38 Reviews,['1300 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive on Washing Machine and 10 Years on Motor from Lloyd']
LG 7.5 kg Fully Automatic Top Load Silver,LG,18190,24990,27% off,4.3,638 Ratings & 50 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG']
SAMSUNG 9 kg WiFi Enabled Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic To...,SAMSUNG,24790,30500,18% off,4.3,3203 Ratings & 254 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 years comprehensive warranty on the product 20 years warranty on the DIT Motor']
BOSCH 6.5 kg 5 Star With Vario Drum & Anti Tangle Program Fully Automatic Top Load Grey,BOSCH,18990,24190,21% off,4.2,174 Ratings & 20 Reviews,['680 rpm Max Speed' '5 Star Rating' '2 Years Warranty on Product and 10 Years on Motor']
Whirlpool 8 kg 5 Star Semi Automatic Top Load Grey,Whirlpool,14022,15000,6% off,4.4,6622 Ratings & 619 Reviews,['1400 rpm Max Speed' '5 Star Rating' '2 Years\n  Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover\n  from Whirlpool']
Whirlpool 7.5 kg Magic Clean 5 Star Fully Automatic Top Load Grey,Whirlpool,17990,23850,24% off,4.2,384 Ratings & 44 Reviews,['740 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor']
Thomson 6.5 kg with Semi Automatic Top Load Blue White,Thomson,6990,9999,30% off,4,1551 Ratings & 146 Reviews,['1400 rpm Max Speed' '2 Years Warranty on Product and 5 Years on Motor']
LG 8 kg Wifi Fully Automatic Front Load with In-built Heater Black Grey,LG,36750,51990,29% off,4.7,15 Ratings & 3 Reviews,['1200 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C']
Whirlpool 6.5 kg Fully Automatic Top Load Grey,Whirlpool,13999,17700,20% off,4.3,3409 Ratings & 326 Reviews,['740 rpm Max Speed' '2 Years Comprehensive Warranty from Whirlpool']
Thomson 7 kg Semi Automatic Top Load Blue White,Thomson,7490,10499,28% off,4,1551 Ratings & 146 Reviews,['1400 rpm Max Speed' '2 Years Warranty on Product and 5 Years Warranty on Motor']
LG 8 kg Semi Automatic Top Load Maroon White,LG,14650,16490,11% off,4.4,1635 Ratings & 126 Reviews,['1350 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years on Motor From LG']
SAMSUNG 8.5 kg Semi Automatic Top Load White Grey,SAMSUNG,14490,23674,38% off,4.3,212 Ratings & 16 Reviews,['1350 rpm Max Speed' '5 Star Rating' '2 Years on Product and 5 Years on Motor From Samsung']
Whirlpool 9.5 kg 5 StarWith Hard water wash Fully Automatic Top Load with In-built Heater Grey,Whirlpool,27150,40500,32% off,4.1,1699 Ratings & 169 Reviews,['740 rpm Max Speed' '5 Star Rating' '3 Years Comprehensive Warranty and 10 Years Warranty on Motor from Whirlpool']
IFB 8 kg 5 Star 2X Power Dual SteamHard Water Wash Fully Automatic Front Load Grey,IFB,36990,44990,17% off,4.3,663 Ratings & 50 Reviews,['1400 RPM Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty 10 Years Motor Warranty 10 Years Spares Support']
LG 8 kg Steam Fully Automatic Front Load with In-built Heater White,LG,32990,42990,23% off,4.4,5055 Ratings & 479 Reviews,['1400 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C']
Godrej 6.5 kg Fully Automatic Top Load Grey,Godrej,13290,19600,32% off,4.2,2823 Ratings & 203 Reviews,['700 rpm Max Speed' '2 Years Comprehensive Warranty on Product  and 10 Years Warranty on Wash Motor']
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey,Whirlpool,16490,22500,26% off,4.3,81 Ratings & 12 Reviews,['740 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor']
ONIDA 6.5 kg Washer only Red,ONIDA,5590,5800,3% off,4.3,21178 Ratings & 2525 Reviews,['780 rpm Max Speed' '1 Year Comprehensive Warranty on Product 7 Years Warranty on Motor']
Voltas Beko 7 kg Semi Automatic Top Load Maroon,Voltas,9090,12999,30% off,4,227 Ratings & 18 Reviews,['1350 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive']
SAMSUNG 8 kg Inverter 5 Star with Ecobubble & Super Speed Technology Washing Machine Fully Automatic T...,SAMSUNG,22990,28000,17% off,4.3,3203 Ratings & 254 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 years comprehensive warranty on the product 20 years warranty on the DIT Motor']
Whirlpool 7.5 kg 5 StarWith Hard water wash Fully Automatic Top Load with In-built Heater Grey,Whirlpool,21850,30000,27% off,4.3,908 Ratings & 66 Reviews,['740 rpm Max Speed' '5 Star Rating' '3 Years Comprehensive Warranty on Product and 10 Years on Motor from Whirlpool']
ONIDA 8 kg 5 Star With Hexa Crystal Drum Technology Fully Automatic Top Load Black,ONIDA,16690,26490,36% off,4.5,251 Ratings & 50 Reviews,['700 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor from Onida']
Godrej 6.2 kg Fully Automatic Top Load Grey,Godrej,12435,18990,34% off,4.2,2823 Ratings & 203 Reviews,['700 rpm Max Speed' '2 Years Warranty on Entire Product and 10 Years on Motor']
Whirlpool 7.5 kg Magic Clean 5 Star Semi Automatic Top Load Black Grey,Whirlpool,11490,14700,21% off,4.4,6622 Ratings & 619 Reviews,['1400 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor']
Panasonic 7 kg Fully Automatic Top Load Silver,Panasonic,16490,25000,34% off,4.3,9162 Ratings & 1238 Reviews,['1380 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 8 Years Additional on Motor']
BOSCH 8 kg Drive Motor Anti Tangle Anti Vibration Fully Automatic Front Load with In-built Heater Wh...,BOSCH,34990,48190,27% off,4.4,1985 Ratings & 186 Reviews,['1200 RPM Max Speed' '5 Star Rating' '2 Years Warranty on Product and 12 Years Warranty on Motor']
Sansui 6.5 kg Semi Automatic Top Load White Maroon,Sansui,7490,10990,31% off,4.3,11240 Ratings & 1011 Reviews,['1300 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty On Product and 5 Years on Motor']
Whirlpool 6.5 kg 5 Star Semi Automatic Top Load Grey,Whirlpool,9490,11550,17% off,4.4,66571 Ratings & 6222 Reviews,['1400 rpm Max Speed' '5 Star Rating' '2 Years\n  Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover\n  from Whirlpool']
Lloyd 7.5 kg Semi Automatic Top Load Red White,Lloyd,9690,13840,29% off,4.4,494 Ratings & 46 Reviews,['1300 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive on Washing Machine and 5 Year on Motor from Lloyd']
IFB 6.5 kg 5 Star 2X Power SteamHard Water Wash Fully Automatic Front Load Silver,IFB,29990,34990,14% off,4.6,55 Ratings & 4 Reviews,['1000 rpm Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty 10 Years Motor Warranty 10 Years Spares Support']
BOSCH 6 kg Drive Motor Anti Tangle Anti Vibration Fully Automatic Front Load with In-built Heater Wh...,BOSCH,26490,30890,14% off,4.4,15039 Ratings & 1512 Reviews,['800 rpm Max Speed' '5 Star Rating' '2 Years Warranty on Product and 12 Years on Motor']
IFB 10 kg Fully Automatic Top Load with In-built Heater Grey,IFB,30838,36990,16% off,4.5,6 Ratings & 1 Reviews,['720 rpm Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty on Product 10 Years Warranty on Motor and 10 Years Spares Support']
LG 8 kg with Roller Jet Pulsator + Soak Semi Automatic Top Load Grey,LG,14994,17490,14% off,4.2,79 Ratings & 4 Reviews,['800 RPM Max Speed' '5 Star Rating' '2 Years Warranty on Complete Washing Machine and 5 Years on Motor from LG']
LG 8 kg Roller Jet Pulsator Wind Jet dry 5 Star rated Semi Automatic Top Load Multicolor,LG,14490,19990,27% off,4.5,9223 Ratings & 720 Reviews,['1300 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on product 5 Years Warranty on Motor']
Haier 6.5 kg Fully Automatic Front Load with In-built Heater Grey,Haier,27490,37857,27% off,4.7,3 Ratings & 0 Reviews,['1000 RPM Max Speed' '5 Star Rating' '2 years on product 12 years on motor']
Godrej 7.5 kg Fully Automatic Top Load with In-built Heater Black,Godrej,18490,28500,35% off,4.3,37 Ratings & 4 Reviews,['670 rpm Max Speed' '5 Star Rating' '2 Years Warranty on Entire Washing Machine and 10 Years on Motor From Godrej']
Voltas Beko 14 kg Semi Automatic Top Load White Maroon,Voltas,15799,25490,38% off,5,5 Ratings & 2 Reviews,['750 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 5 Years on Motor from Lloyd']
Whirlpool 11 kg Semi Automatic Top Load Grey,Whirlpool,16449,19990,17% off,4.4,273 Ratings & 19 Reviews,['1400 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 5 Years Warranty on Motor and Prime Mover From Whirlpool']
IFB 7 kg 5 Star 2X Power SteamHard Water Wash Fully Automatic Front Load with In-built Heater White,IFB,29490,35290,16% off,4.2,692 Ratings & 79 Reviews,['1000 RPM Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty 10 Years Motor Warranty 10 Years Spares Support']
LG 7 kg Fully Automatic Top Load Silver,LG,18990,24990,24% off,4.3,167 Ratings & 22 Reviews,['780 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from LG']
Sansui 8.5 kg Semi Automatic Top Load Red White,Sansui,10150,15990,36% off,4.3,11240 Ratings & 1011 Reviews,['1350 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years Motor Domestic Warranty from Sansui']
IFB 7 kg 5 Star 2X Power SteamHard Water Wash Fully Automatic Front Load with In-built Heater Red,IFB,36470,41990,13% off,4.2,692 Ratings & 79 Reviews,['1200 rpm Max Speed' '5 Star Rating' '4 Years Warranty on Product 10 Years Warranty on Motor and 10 Years Warranty on Spare Part Support']
Whirlpool 8 kg 5 Star Supersoak Technology Semi Automatic Top Load Red,Whirlpool,12150,15999,24% off,4.4,5294 Ratings & 642 Reviews,['1400 rpm Max Speed' '2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor Spin motor and Prime Mover from Whirlpool']
Voltas Beko 14 kg Semi Automatic Top Load White Maroon,Voltas,15969,25490,37% off,5,5 Ratings & 2 Reviews,['750 RPM Max Speed' '5 Star Rating' '2 Years Comprehensive Warranty and 5 Years on Motor from Lloyd']
LG 9 kg with Roller Jet Pulsator Semi Automatic Top Load Grey White,LG,15490,17490,11% off,4.5,2639 Ratings & 230 Reviews,['1300 rpm Max Speed' '5 Star Rating' '2 Years Comprehensive and 5 Years on Motor From LG']
Whirlpool 9 kg 5 Star Hard Water wash Semi Automatic Top Load Grey,Whirlpool,14990,17200,12% off,4.3,2655 Ratings & 246 Reviews,['1400 rpm Max Speed' '5 Star Rating' '2 Years\n  Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover\n  from Whirlpool']
BOSCH 8 kg Drive Motor Anti Tangle Anti Vibration Fully Automatic Front Load with In-built Heater Si...,BOSCH,35490,46499,23% off,4.4,3604 Ratings & 397 Reviews,['1200 rpm Max Speed' '5 Star Rating' '2 Years on Product and 12 Years on Motor from Bosch']
Whirlpool 7.5 kg 5 StarWith Hard water wash Fully Automatic Top Load Grey,Whirlpool,21850,31100,29% off,4.2,549 Ratings & 48 Reviews,['740 rpm Max Speed' '5 Star Rating' '3 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor and Prime Mover']
IFB 9 kg Fully Automatic Top Load with In-built Heater Silver,IFB,30140,34990,13% off,4,4 Ratings & 1 Reviews,['720 rpm Max Speed' '5 Star Rating' '4 Years Comprehensive Warranty on Product 10 Years Warranty on Motor and 10 Years Spares Support']
Voltas Beko 8 kg Semi Automatic Top Load Blue White,Voltas,10203,16990,39% off,4.3,518 Ratings & 47 Reviews,['1300 rpm Max Speed' '2 Years Comprehensive Warranty on Product 5 Years Warranty on Motor']
SAMSUNG 8 kg With AI Control & Wi-Fi and Digital Inverter Fully Automatic Front Load with In-built Hea...,SAMSUNG,36990,44900,17% off,4.4,23161 Ratings & 2321 Reviews,['1400 rpm Max Speed' '5 Star Rating' '2 years comprehensive warranty on the product 20 years warranty on the DIT Motor']
