Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
126,136,104,21,1,121.15,1,caught,2,,v England,Colombo (RPS),22 Sep 2002,ODI # 1884
59,87,58,10,0,101.72,1,caught,1,,v South Africa,Colombo (RPS),25 Sep 2002,ODI # 1886
13,8,5,3,0,260.00,2,not out,2,,v Sri Lanka,Colombo (RPS),29 Sep 2002,ODI # 1888
25,48,22,3,1,113.63,2,not out,2,,v Sri Lanka,Colombo (RPS),30 Sep 2002,ODI # 1889
28,38,26,4,0,107.69,1,caught,1,,v West Indies,Jamshedpur,6 Nov 2002,ODI # 1893
1,5,5,0,0,20.00,2,caught,1,,v West Indies,Nagpur,9 Nov 2002,ODI # 1894
114,-,82,17,2,139.02,2,not out,2,,v West Indies,Rajkot,12 Nov 2002,ODI # 1895
4,3,3,1,0,133.33,2,caught,2,,v West Indies,Ahmedabad,15 Nov 2002,ODI # 1896
52,57,39,9,1,133.33,2,caught,1,,v West Indies,Vadodara,18 Nov 2002,ODI # 1897
18,33,21,3,0,85.71,2,caught,2,,v West Indies,Jodhpur,21 Nov 2002,ODI # 1898
12,-,15,2,0,80.00,1,caught,2,,v West Indies,Vijayawada,24 Nov 2002,ODI # 1900
0,5,5,0,0,0.00,2,bowled,1,,v New Zealand,Auckland,26 Dec 2002,ODI # 1926
108,160,119,9,2,90.75,2,run out,2,,v New Zealand,Napier,29 Dec 2002,ODI # 1927
7,17,20,1,0,35.00,1,caught,1,,v New Zealand,Christchurch,1 Jan 2003,ODI # 1928
23,45,39,4,0,58.97,1,caught,1,,v New Zealand,Queenstown,4 Jan 2003,ODI # 1929
45,63,40,9,0,112.50,2,caught,2,,v New Zealand,Wellington,8 Jan 2003,ODI # 1930
112,175,139,11,3,80.57,2,caught,2,,v New Zealand,Auckland,11 Jan 2003,ODI # 1933
4,23,19,0,0,21.05,2,caught,1,,v New Zealand,Hamilton,14 Jan 2003,ODI # 1935
6,15,9,1,0,66.66,3,caught,1,,v Netherlands,Paarl,12 Feb 2003,ODI # 1948
4,10,4,1,0,100.00,3,caught,1,,v Australia,Centurion,15 Feb 2003,ODI # 1951
36,78,38,6,0,94.73,1,caught,1,,v Zimbabwe,Harare,19 Feb 2003,ODI # 1957
24,33,24,4,0,100.00,1,caught,1,,v Namibia,Pietermaritzburg,23 Feb 2003,ODI # 1964
23,47,29,4,0,79.31,1,caught,1,,v England,Durban,26 Feb 2003,ODI # 1969
21,28,14,3,1,150.00,2,caught,2,,v Pakistan,Centurion,1 Mar 2003,ODI # 1975
3,8,8,0,0,37.50,1,caught,2,,v Kenya,Cape Town,7 Mar 2003,ODI # 1983
66,110,76,5,3,86.84,2,caught,1,,v Sri Lanka,Johannesburg,10 Mar 2003,ODI # 1985
1,9,6,0,0,16.66,1,caught,2,,v New Zealand,Centurion,14 Mar 2003,ODI # 1988
33,81,56,3,0,58.92,1,caught,1,,v Kenya,Durban,20 Mar 2003,ODI # 1992
82,107,81,10,3,101.23,2,run out,2,,v Australia,Johannesburg,23 Mar 2003,ODI # 1993
63,63,51,11,1,123.52,2,lbw,1,,v Bangladesh,Dhaka,11 Apr 2003,ODI # 2001
37,81,44,6,0,84.09,2,caught,1,,v South Africa,Dhaka,13 Apr 2003,ODI # 2002
43,51,44,8,0,97.72,1,caught,2,,v Bangladesh,Dhaka,16 Apr 2003,ODI # 2004
25,50,30,3,1,83.33,1,caught,1,,v South Africa,Dhaka,18 Apr 2003,ODI # 2006
8,30,18,1,0,44.44,1,caught,1,,v South Africa,Dhaka,21 Apr 2003,ODI # 2007
31,39,29,5,1,106.89,1,bowled,1,,v New Zealand,Chennai,23 Oct 2003,ODI # 2051
0,2,3,0,0,0.00,1,caught,1,,v Australia,Gwalior,26 Oct 2003,ODI # 2052
0,1,1,0,0,0.00,1,lbw,2,,v Australia,Wankhede,1 Nov 2003,ODI # 2054
39,80,53,3,1,73.58,1,bowled,2,,v Australia,Bengaluru,12 Nov 2003,ODI # 2061
130,193,134,15,2,97.01,1,caught,1,,v New Zealand,Hyderabad (Deccan),15 Nov 2003,ODI # 2062
5,10,12,1,0,41.66,2,caught,2,,v Australia,Kolkata,18 Nov 2003,ODI # 2064
35,85,59,3,0,59.32,1,bowled,2,,v Australia,Melbourne,9 Jan 2004,ODI # 2077
90,124,102,5,5,88.23,1,caught,2,,v Zimbabwe,Hobart,14 Jan 2004,ODI # 2080
32,51,34,6,0,94.11,1,caught,1,,v Australia,Perth,1 Feb 2004,ODI # 2093
23,30,22,4,0,104.54,1,caught,2,,v Zimbabwe,Perth,3 Feb 2004,ODI # 2095
3,13,8,0,0,37.50,1,caught,1,,v Australia,Melbourne,6 Feb 2004,ODI # 2097
12,13,7,1,1,171.42,1,caught,2,,v Australia,Sydney,8 Feb 2004,ODI # 2098
79,85,57,14,1,138.59,1,bowled,1,,v Pakistan,Karachi,13 Mar 2004,ODI # 2112
26,35,21,4,0,123.80,1,bowled,2,,v Pakistan,Rawalpindi,16 Mar 2004,ODI # 2114
13,29,18,3,0,72.22,1,caught,1,,v Pakistan,Peshawar,19 Mar 2004,ODI # 2115
26,53,29,5,0,89.65,1,caught,2,,v Pakistan,Lahore,21 Mar 2004,ODI # 2116
20,26,22,4,0,90.90,1,caught,1,,v Pakistan,Lahore,24 Mar 2004,ODI # 2117
0,3,3,0,0,0.00,1,run out,1,,v U.A.E.,Dambulla,16 Jul 2004,ODI # 2144
37,50,39,5,0,94.87,3,run out,2,,v Sri Lanka,Dambulla,18 Jul 2004,ODI # 2148
16,8,8,3,0,200.00,1,caught,2,,v Bangladesh,Colombo (SSC),21 Jul 2004,ODI # 2149
1,10,5,0,0,20.00,1,caught,2,,v Pakistan,Colombo (RPS),25 Jul 2004,ODI # 2152
81,144,92,6,2,88.04,2,caught,1,,v Sri Lanka,Colombo (RPS),27 Jul 2004,ODI # 2153
5,12,12,1,0,41.66,1,lbw,2,,v Sri Lanka,Colombo (RPS),1 Aug 2004,ODI # 2155
17,14,15,2,0,113.33,1,caught,2,,v Pakistan,Amstelveen,21 Aug 2004,ODI # 2157
4,11,12,0,0,33.33,1,caught,1,,v England,Nottingham,1 Sep 2004,ODI # 2164
0,2,2,0,0,0.00,2,lbw,2,,v England,The Oval,3 Sep 2004,ODI # 2165
1,1,2,0,0,50.00,4,caught,1,,v England,Lord's,5 Sep 2004,ODI # 2167
17,41,27,2,0,62.96,2,bowled,1,,v Kenya,Southampton,11 Sep 2004,ODI # 2170
10,40,20,0,0,50.00,2,caught,1,,v Pakistan,Birmingham,19 Sep 2004,ODI # 2179
53,102,65,6,2,81.53,1,bowled,1,,v Pakistan,Kolkata,13 Nov 2004,ODI # 2192
0,3,3,0,0,0.00,1,bowled,2,,v Bangladesh,Dhaka,26 Dec 2004,ODI # 2201
70,85,52,9,2,134.61,1,caught,1,,v Bangladesh,Dhaka,27 Dec 2004,ODI # 2202
45,52,39,5,1,115.38,2,caught,2,,v ICC World XI,Melbourne,10 Jan 2005,ODI # 2203
108,156,95,9,3,113.68,1,bowled,1,,v Pakistan,Kochi,2 Apr 2005,ODI # 2235
74,67,40,12,2,185.00,1,caught,1,,v Pakistan,Visakhapatnam,5 Apr 2005,ODI # 2236
2,8,5,0,0,40.00,1,caught,2,,v Pakistan,Jamshedpur,9 Apr 2005,ODI # 2237
29,51,32,4,0,90.62,1,run out,1,,v Pakistan,Ahmedabad,12 Apr 2005,ODI # 2238
5,21,13,1,0,38.46,1,bowled,1,,v Pakistan,Kanpur,15 Apr 2005,ODI # 2239
21,31,26,3,0,80.76,1,caught,2,,v Pakistan,Delhi,17 Apr 2005,ODI # 2240
14,10,10,3,0,140.00,1,bowled,1,,v Sri Lanka,Dambulla,30 Jul 2005,ODI # 2262
2,6,2,0,0,100.00,2,caught,2,,v West Indies,Dambulla,31 Jul 2005,ODI # 2263
32,70,39,5,0,82.05,1,bowled,1,,v Sri Lanka,Dambulla,3 Aug 2005,ODI # 2265
6,43,23,0,0,26.08,2,lbw,1,,v West Indies,Colombo (RPS),7 Aug 2005,ODI # 2267
48,31,22,9,1,218.18,2,bowled,2,,v Sri Lanka,Colombo (RPS),9 Aug 2005,ODI # 2268
21,44,26,5,0,80.76,2,caught,2,,v Africa XI,Centurion,17 Aug 2005,ODI # 2269
38,78,51,4,1,74.50,1,caught,1,,v Africa XI,Durban,20 Aug 2005,ODI # 2270
5,8,5,1,0,100.00,1,bowled,2,,v Africa XI,Durban,21 Aug 2005,ODI # 2271
15,50,22,2,0,68.18,2,caught,2,,v New Zealand,Bulawayo,26 Aug 2005,ODI # 2273
45,-,34,6,0,132.35,1,bowled,2,,v New Zealand,Harare,2 Sep 2005,ODI # 2278
12,11,13,2,0,92.30,1,bowled,2,,v Zimbabwe,Harare,4 Sep 2005,ODI # 2280
75,105,65,12,1,115.38,1,caught,1,,v New Zealand,Harare,6 Sep 2005,ODI # 2281
6,22,10,0,0,60.00,2,caught,2,,v Australia,Melbourne (Docklands),5 Oct 2005,ODI # 2282
21,17,15,4,0,140.00,2,caught,2,,v Australia,Melbourne (Docklands),7 Oct 2005,ODI # 2283
37,89,40,4,1,92.50,2,run out,2,,v Australia,Melbourne (Docklands),9 Oct 2005,ODI # 2284
20,32,25,4,0,80.00,1,caught,1,,v Sri Lanka,Nagpur,25 Oct 2005,ODI # 2286
38,46,29,5,1,131.03,1,caught,2,,v Sri Lanka,Mohali,28 Oct 2005,ODI # 2287
39,67,37,3,0,105.40,1,lbw,2,,v Sri Lanka,Jaipur,31 Oct 2005,ODI # 2290
48,95,58,7,0,82.75,1,caught,2,,v Sri Lanka,Pune,3 Nov 2005,ODI # 2291
19,35,19,1,0,100.00,2,bowled,1,,v Sri Lanka,Ahmedabad,6 Nov 2005,ODI # 2294
22,45,22,4,0,100.00,3,caught,2,,v Sri Lanka,Rajkot,9 Nov 2005,ODI # 2295
35,35,24,6,0,145.83,1,caught,2,,v Sri Lanka,Vadodara,12 Nov 2005,ODI # 2296
1,6,4,0,0,25.00,1,caught,1,,v South Africa,Hyderabad (Deccan),16 Nov 2005,ODI # 2297
77,89,62,11,0,124.19,4,not out,2,,v South Africa,Bengaluru,19 Nov 2005,ODI # 2298
30,31,21,6,0,142.85,4,caught,1,,v South Africa,Kolkata,25 Nov 2005,ODI # 2299
27,24,20,4,1,135.00,3,lbw,2,,v South Africa,Wankhede,28 Nov 2005,ODI # 2300
5,5,6,1,0,83.33,1,caught,1,,v Pakistan,Peshawar,6 Feb 2006,ODI # 2324
67,83,60,10,1,111.66,1,run out,2,,v Pakistan,Rawalpindi,11 Feb 2006,ODI # 2327
7,12,8,1,0,87.50,2,caught,1,,v England,Delhi,28 Mar 2006,ODI # 2357
26,63,45,4,0,57.77,1,bowled,2,,v England,Faridabad,31 Mar 2006,ODI # 2358
15,27,26,2,0,57.69,1,bowled,1,,v England,Margao,3 Apr 2006,ODI # 2359
26,47,33,4,0,78.78,1,caught,2,,v England,Kochi,6 Apr 2006,ODI # 2360
4,2,5,1,0,80.00,1,caught,1,,v England,Jamshedpur,12 Apr 2006,ODI # 2361
73,116,83,10,1,87.95,1,bowled,1,,v Pakistan,Abu Dhabi,19 Apr 2006,ODI # 2364
22,51,32,3,0,68.75,1,run out,2,,v West Indies,Kingston,18 May 2006,ODI # 2377
12,27,19,1,0,63.15,2,caught,2,,v West Indies,Kingston,20 May 2006,ODI # 2379
97,-,83,9,3,116.86,1,lbw,1,,v West Indies,Basseterre,23 May 2006,ODI # 2380
11,-,11,2,0,100.00,1,caught,1,,v West Indies,Port of Spain,26 May 2006,ODI # 2381
95,-,103,10,1,92.23,2,caught,2,,v West Indies,Port of Spain,28 May 2006,ODI # 2382
9,10,10,0,1,90.00,4,bowled,1,,v West Indies,Kuala Lumpur,14 Sep 2006,ODI # 2414
8,6,5,0,1,160.00,4,run out,2,,v Australia,Kuala Lumpur,16 Sep 2006,ODI # 2416
1,8,6,0,0,16.66,3,bowled,1,,v West Indies,Kuala Lumpur,20 Sep 2006,ODI # 2419
10,24,11,0,0,90.90,1,bowled,2,,v Australia,Kuala Lumpur,22 Sep 2006,ODI # 2421
9,7,4,2,0,225.00,1,caught,2,,v England,Jaipur,15 Oct 2006,ODI # 2429
17,21,20,3,0,85.00,1,lbw,1,,v West Indies,Ahmedabad,26 Oct 2006,ODI # 2437
65,136,90,9,0,72.22,1,lbw,1,,v Australia,Mohali,29 Oct 2006,ODI # 2440
0,2,4,0,0,0.00,1,caught,2,,v South Africa,Cape Town,26 Nov 2006,ODI # 2449
18,38,22,3,0,81.81,2,caught,2,,v South Africa,Gqeberha,29 Nov 2006,ODI # 2452
11,27,22,2,0,50.00,1,caught,1,,v South Africa,Centurion,3 Dec 2006,ODI # 2458
19,16,23,3,0,82.60,5,caught,2,,v Sri Lanka,Rajkot,11 Feb 2007,ODI # 2520
12,12,9,3,0,133.33,2,caught,2,,v Sri Lanka,Margao,14 Feb 2007,ODI # 2522
46,82,44,7,0,104.54,1,run out,2,,v Sri Lanka,Visakhapatnam,17 Feb 2007,ODI # 2525
2,12,6,0,0,33.33,2,bowled,1,,v Bangladesh,Port of Spain,17 Mar 2007,ODI # 2538
114,127,87,17,3,131.03,3,caught,1,,v Bermuda,Port of Spain,19 Mar 2007,ODI # 2542
48,79,46,5,1,104.34,3,caught,2,,v Sri Lanka,Port of Spain,23 Mar 2007,ODI # 2550
30,38,21,7,0,142.85,2,caught,2,,v Bangladesh,Mirpur,10 May 2007,ODI # 2582
21,34,26,1,1,80.76,1,caught,1,,v Bangladesh,Mirpur,12 May 2007,ODI # 2583
45,64,42,7,1,107.14,2,bowled,1,,v Africa XI,Bengaluru,6 Jun 2007,ODI # 2587
52,60,38,8,1,136.84,1,caught,1,,v Africa XI,Chennai,9 Jun 2007,ODI # 2588
8,12,8,2,0,100.00,1,caught,1,,v Africa XI,Chennai,10 Jun 2007,ODI # 2589
25,48,31,1,0,80.64,4,bowled,1,,v Pakistan,Mohali,8 Nov 2007,ODI # 2644
43,93,49,4,1,87.75,4,run out,2,,v Pakistan,Gwalior,15 Nov 2007,ODI # 2646
10,27,13,1,0,76.92,4,caught,2,,v Pakistan,Jaipur,18 Nov 2007,ODI # 2647
6,15,8,1,0,75.00,1,bowled,1,,v Australia,Brisbane,3 Feb 2008,ODI # 2670
33,87,39,2,1,84.61,1,caught,1,,v Sri Lanka,Brisbane,5 Feb 2008,ODI # 2672
11,18,19,2,0,57.89,1,lbw,2,,v Australia,Melbourne,10 Feb 2008,ODI # 2675
14,34,18,2,0,77.77,1,caught,1,,v Sri Lanka,Canberra,12 Feb 2008,ODI # 2676
17,39,19,3,0,89.47,1,caught,2,,v Australia,Sydney,24 Feb 2008,ODI # 2685
89,126,76,13,1,117.10,2,caught,1,,v Pakistan,Mirpur,10 Jun 2008,ODI # 2705
59,46,32,7,2,184.37,2,caught,2,,v Bangladesh,Mirpur,12 Jun 2008,ODI # 2706
2,7,8,0,0,25.00,2,caught,2,,v Pakistan,Mirpur,14 Jun 2008,ODI # 2707
78,58,44,13,2,177.27,2,caught,1,,v Hong Kong,Karachi,25 Jun 2008,ODI # 2716
119,150,95,12,5,125.26,2,caught,2,,v Pakistan,Karachi,26 Jun 2008,ODI # 2717
49,64,33,6,2,148.48,2,caught,1,,v Pakistan,Karachi,2 Jul 2008,ODI # 2730
42,53,34,6,1,123.52,2,caught,2,,v Sri Lanka,Karachi,3 Jul 2008,ODI # 2732
60,46,36,12,0,166.66,2,stumped,2,,v Sri Lanka,Karachi,6 Jul 2008,ODI # 2735
85,108,73,10,3,116.43,2,caught,1,,v England,Rajkot,14 Nov 2008,ODI # 2774
1,6,4,0,0,25.00,2,bowled,1,,v England,Indore,17 Nov 2008,ODI # 2777
68,109,76,8,1,89.47,2,caught,2,,v England,Kanpur,20 Nov 2008,ODI # 2778
69,102,57,9,3,121.05,1,caught,1,,v England,Bengaluru,23 Nov 2008,ODI # 2781
91,116,73,15,1,124.65,1,lbw,2,,v England,Cuttack,26 Nov 2008,ODI # 2783
42,58,26,7,0,161.53,1,run out,1,,v Sri Lanka,Colombo (RPS),31 Jan 2009,ODI # 2810
116,165,90,17,0,128.88,1,run out,1,,v Sri Lanka,Colombo (RPS),3 Feb 2009,ODI # 2813
5,13,8,1,0,62.50,1,caught,1,,v Sri Lanka,Colombo (RPS),5 Feb 2009,ODI # 2815
6,6,6,1,0,100.00,2,caught,2,,v Sri Lanka,Colombo (RPS),8 Feb 2009,ODI # 2818
77,79,56,11,1,137.50,1,caught,1,,v New Zealand,Napier,3 Mar 2009,ODI # 2821
54,60,36,9,1,150.00,1,caught,1,,v New Zealand,Wellington,6 Mar 2009,ODI # 2822
3,15,6,0,0,50.00,1,bowled,1,,v New Zealand,Christchurch,8 Mar 2009,ODI # 2823
125,106,74,14,6,168.91,2,not out,2,,v New Zealand,Hamilton,11 Mar 2009,ODI # 2824
40,57,27,3,3,148.14,2,caught,1,,v New Zealand,Auckland,14 Mar 2009,ODI # 2825
13,20,11,3,0,118.18,1,caught,2,,v Australia,Vadodara,25 Oct 2009,ODI # 2913
40,49,31,6,1,129.03,1,caught,1,,v Australia,Nagpur,28 Oct 2009,ODI # 2915
11,41,25,1,0,44.00,1,bowled,2,,v Australia,Delhi,31 Oct 2009,ODI # 2918
30,30,19,7,0,157.89,1,caught,2,,v Australia,Mohali,2 Nov 2009,ODI # 2919
38,37,30,5,1,126.66,1,caught,2,,v Australia,Hyderabad (Deccan),5 Nov 2009,ODI # 2923
6,1,4,0,1,150.00,1,bowled,1,,v Australia,Guwahati,8 Nov 2009,ODI # 2925
146,166,102,17,6,143.13,1,caught,1,,v Sri Lanka,Rajkot,15 Dec 2009,ODI # 2932
4,3,4,1,0,100.00,1,caught,1,,v Sri Lanka,Nagpur,18 Dec 2009,ODI # 2933
44,30,28,9,0,157.14,1,caught,2,,v Sri Lanka,Cuttack,21 Dec 2009,ODI # 2934
10,-,10,2,0,100.00,1,caught,2,,v Sri Lanka,Kolkata,24 Dec 2009,ODI # 2935
47,44,31,9,0,151.61,2,caught,1,,v Sri Lanka,Mirpur,5 Jan 2010,ODI # 2938
13,17,8,2,0,162.50,2,run out,2,,v Bangladesh,Mirpur,7 Jan 2010,ODI # 2939
42,52,27,7,0,155.55,1,caught,1,,v Sri Lanka,Mirpur,13 Jan 2010,ODI # 2943
46,-,37,6,2,124.32,1,run out,1,,v South Africa,Jaipur,21 Feb 2010,ODI # 2961
9,15,11,1,0,81.81,1,caught,1,,v South Africa,Gwalior,24 Feb 2010,ODI # 2962
11,29,14,2,0,78.57,2,caught,2,,v Bangladesh,Dambulla,16 Jun 2010,ODI # 2993
10,41,32,1,0,31.25,2,caught,2,,v Pakistan,Dambulla,19 Jun 2010,ODI # 2996
19,31,23,3,0,82.60,2,caught,2,,v New Zealand,Dambulla,10 Aug 2010,ODI # 3030
99,165,100,11,2,99.00,2,not out,2,,v Sri Lanka,Dambulla,16 Aug 2010,ODI # 3032
12,-,12,2,0,100.00,2,lbw,1,,v Sri Lanka,Dambulla,22 Aug 2010,ODI # 3038
110,136,93,16,1,118.27,2,caught,1,,v New Zealand,Dambulla,25 Aug 2010,ODI # 3039
28,30,22,6,0,127.27,1,run out,2,,v Sri Lanka,Dambulla,28 Aug 2010,ODI # 3040
175,198,140,14,5,125.00,1,bowled,1,,v Bangladesh,Mirpur,19 Feb 2011,ODI # 3100
35,34,26,6,0,134.61,1,caught,1,,v England,Bengaluru,27 Feb 2011,ODI # 3110
5,5,3,1,0,166.66,1,caught,2,,v Ireland,Bengaluru,6 Mar 2011,ODI # 3121
39,36,26,5,2,150.00,1,caught,2,,v Netherlands,Delhi,9 Mar 2011,ODI # 3124
73,87,66,12,0,110.60,1,bowled,1,,v South Africa,Nagpur,12 Mar 2011,ODI # 3128
15,46,22,2,0,68.18,1,caught,2,,v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
38,32,25,9,0,152.00,1,lbw,1,,v Pakistan,Mohali,30 Mar 2011,ODI # 3147
0,2,2,0,0,0.00,1,lbw,2,,v Sri Lanka,Wankhede,2 Apr 2011,ODI # 3148
20,55,29,3,0,68.96,2,bowled,2,,v West Indies,Cuttack,29 Nov 2011,ODI # 3217
26,71,35,3,0,74.28,2,caught,2,,v West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
0,3,1,0,0,0.00,2,caught,2,,v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
219,208,149,25,7,146.97,2,caught,1,,v West Indies,Indore,8 Dec 2011,ODI # 3223
10,12,8,2,0,125.00,1,caught,2,,v Sri Lanka,Perth,8 Feb 2012,ODI # 3233
20,38,21,3,0,95.23,2,caught,2,,v Australia,Adelaide,12 Feb 2012,ODI # 3237
0,1,2,0,0,0.00,1,caught,2,,v Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
5,8,11,1,0,45.45,1,caught,2,,v Australia,Sydney,26 Feb 2012,ODI # 3250
30,29,16,5,1,187.50,1,caught,2,,v Sri Lanka,Hobart,28 Feb 2012,ODI # 3251
96,132,97,10,0,98.96,2,run out,1,,v Sri Lanka,Hambantota,21 Jul 2012,ODI # 3291
15,21,15,2,0,100.00,2,caught,1,,v Sri Lanka,Hambantota,24 Jul 2012,ODI # 3292
3,6,6,0,0,50.00,2,caught,2,,v Sri Lanka,Colombo (RPS),28 Jul 2012,ODI # 3293
34,46,29,6,0,117.24,2,caught,2,,v Sri Lanka,Colombo (RPS),31 Jul 2012,ODI # 3294
4,20,11,1,0,36.36,2,bowled,1,,v Pakistan,Chennai,30 Dec 2012,ODI # 3314
31,70,43,3,0,72.09,2,lbw,2,,v Pakistan,Kolkata,3 Jan 2013,ODI # 3315
